id,text,sdg,expected_label,predicted_sdgs,predicted_label,correct
2f60dd6,"Given industry’s substantial contribution to global energy intensity, credible specific industrial energy-efficiency targets must be formulated. But to keep increases in industrial energy consumption to the minimum required to satisfy development needs, future efficiency efforts must be ambitious. They must double today’s pace and reach energy intensity reduction rates similar to those in the 1990s. Doubling the industrial energy-intensity reduction rate is consistent with a similar exhortation made at the global level in the AGECC (2010) report.",7,True,[7],True,True
604ff6f,"In most countries governments are significant energy users, and government operations present significant opportunities for efficiency improvements. By procuring energy efficiency services from the private sector, governments can help build capacity and critical mass within this important service sector. This is a win-win option, since energy use is major public sector expense.",7,True,"[7, 8, 9, 12]",True,True
5afa874,"This section focuses specifically on energy supply, the next section considers energy use. The approaches and tools presented here address, in turn, the policy, regulatory, and economic dimensions of the enabling environment. National energy policies should integrate renewables into the country’s energy portfolio, engage the private sector in technology development, build confidence in the financial community about renewable technologies, and where appropriate co-ordinate investments across national boundaries (IEA, 2001). Such policies can support co-operation among institutions and provide guidance in selecting low-carbon options tailored to unique country circumstances and priorities.",7,True,"[7, 9, 12, 13, 17]",True,True
6589bc3,"Connecting an individual consumer to a power plant would be prohibitively expensive. However, each additional customer in the area reduces the average cost for all involved since the cost for connecting the additional customer is small. The physical link through the grid, however, not only links customers to a producer but also links all producers with each other.",7,True,"[7, 8, 9, 12, 17]",True,True
85fc60a,"The country's potential in developing energy production technologies like wave power and osmotic power is also substantial. Norway is Europe's largest producer of hydropower, which delivers 99% of the country's electricity. On January 1 2008, Norway had a total installed capacity of 29030 MW at 699 hydropower stations larger than 1 MW. The Kvill-dal hydropower station in Rogaland county is Norway’s largest, with a maximum generating capacity of 1240 MW.",7,True,"[7, 9, 12]",True,True
70e0b73,"Although specific training and one-on-one guidance was necessary for the initial transactions, the deals that followed were orchestrated by the local banks. The programme would probably not have been so successful without the indirect training of personnel and bankers. Such sustainable success was also found in the Eastern European implementation of the programme by the IFC.",7,False,"[8, 9, 12, 17]",False,True
713f679,"Building an attractive rurality for young people is a major public policy challenge. Restoring the attractiveness of rural areas and achieving a new inclusive and equitable rurality is fundamental for rural territories to benefit from having more and better educated young people with a greater capacity for innovation. Thus, the rural agenda increasingly overlaps with the indigenous agenda, which includes an integral vision of that world, as territory and habitat, and not only as a space and production resource. Nonetheless, public must also be formulated for rural Afrodescendent populations, which are significant in various countries and constitute one of the least visible social groups.",7,False,"[8, 9, 11, 12, 17]",False,True
76e633c,"The location was selected because of the competitive labour cost, skills and physical infrastructure. The layout and design of buildings draw from the latest standards developed in the industry, such as those established by the US Customs authority after the September 11, 2001, terrorist attacks, to ensure security of trade, and safety at work, after the fire disasters in Bangladesh textile factories in April 2013. A one-stop government service has been introduced to cut red tape and improve the business environment. The China Civil Engineering Corporation, a leading construction company is building the park as a turnkey ""design and build"" project.",7,False,"[8, 9, 11, 12, 17]",False,True
7d8b618,"The surveys fed into the ""Sustainability Index Consortium"", an open platform database that allowed for analysis of the information collected from Walmart's 100,000 suppliers. At a Global Sustainability Milestone Meeting in Beijing in 2008, Walmart's chief executive officer announced plans to expand participation to 70 per cent of suppliers by 2017, making clear that failure to participate in the index would lead to removal of the firm from Walmart's supply chain. They typically address quality, cost and delivery procedures and, increasingly, environmental processes.",7,False,"[9, 12, 15, 17]",False,True
458e909,"Despite benefiting from past investments that have given it the second-longest commuter rail system in the US, investment has not kept up with the region’s needs. The Chicago Tri-State metro-region's competitiveness is being undermined in part by the growing inadequacy of its transportation infrastructure, which is typified by high rates of road congestion. Over 80% of the 4 009 stream miles assessed in Illinois are considered sufficiently polluted to prohibit primary human contact (e.g. swimming) (IEPA, 2010).",7,False,"[8, 9, 11, 12, 17]",False,True
443dd26,"These initiatives need to be encouraged, carefully monitored, and expanded where successful. Fiona Stewart is a principal administrator in the Financial Affairs Division of the OECD’s Directorate for Financial and Enterprise Affairs. The views expressed are the sole responsibility of the authors and do not reflect those of their organisations or the governments of OECD Member countries. The authors are solely responsible for any errors.",7,False,"[8, 9, 10, 16, 17]",False,True
80e5d03,"Looking forward, the development of storage technologies and the development of international interconnections are foreseen to further facilitate the integration of wind and solar power. In these situations, balancing the power system during periods of low load will necessitate further adaptations to maintain the physical parameters of the network. An ongoing IEA work within the Grid Integration of Variable Renewables project (GIVAR) analyses these options in more detail. Hence, it will be necessary in the next 20 years to keep some conventional power plants online to provide ancillary services and ramp-up capabilities.",7,True,"[7, 9, 12]",True,True
849a852,"Compared with other instances of social costs, one may think of tobacco smoking or lead concentration in drinking water, this process has developed reasonably quickly. First, there is public awareness and opinion creation by means of public communication. These may be commercial means of communication, such as television or newspapers, but also non-commercial means of public awareness creation such as demonstrations, sit-ins, public speeches and the like. Again, information is the first step in internalising external costs. This way, the set of choices is transformed into new choices that integrate a higher share of public concerns.",7,False,"[3, 6]",False,True
84bf7a9,"Electricity access is commonly acknowledged as a basic need for human development (Scott and Seth, 2013), and has been described as a moral imperative, socially prudent and an economic necessity (GEA, 2016: 19).  Aside from the public-good dimension of safe and reliable electricity supply, consumer protection and guaranteed access are important political-economy considerations (Bamber et al., 2014; Scott and Seth, 2013). Such energy-security concerns generally serve to reinforce State control and regulation of the electricity sector (Kuik et al., 2011).",7,True,"[7, 8, 9, 12, 16, 17]",True,True
3eb4f67,"The development of a shared evidence base and understanding of the city’s problems will help future planning and enable Sydney to better showcase its strengths and weaknesses to State and Federal policy makers. This is particularly relevant to the sustainability agenda where key stakeholders were beginning to come together across the city. Building on these relationships and partnerships should be a priority, in order act as a catalyst for a citywide sustainability strategy, which could potentially be seen as a working template for future city wide strategic partnerships and work.",7,False,"[9, 10, 11, 12, 15, 16, 17]",False,True
8858114,"Over the past decades, appliances have become increasingly energy-efficient. In the EU, for instance, there was a rapid increase in the market share of the most energy-efficient appliances. Sales of Class A refrigerators increased from less than 5 per cent of total sales in 1995 to 23 per cent in 2000 and 61 per cent in 2005, in addition, 19 per cent of refrigerators sold in 2005 were in the two new, more efficient classes (A+ and A++). For washing machines, progress was even more rapid: with an increase in sales of 1 per cent in 1996, 38 per cent in 2000 and 90 per cent in 2005.",7,True,[7],True,True
87b9ade,"Significant restructuring of the region’s economy over the past twenty years has transformed the demand for skills, making it more difficult for low-skilled workers to find employment in more knowledge-based, innovation-driven, growing sectors. Despite the higher-than-average levels of educational attainment in the region, chronic low graduation rates from the region’s public post-secondary educational institutions, particularly community colleges, slows the upgrading of the region’s workforce. Further, the increase in specialisation towards higher value-added activities in the Chicago Tri-State metro-region has not gone hand in hand with an increase of the share of the labour force with high qualifications.",7,False,"[4, 8, 9, 17]",False,True
89a62d0,"Many off-shore wind farms have already been built and some governments are actively pursuing the large-scale deployment of this technology. Other low-carbon technologies such as CCS, which has a huge potential, are less mature and require a longer-term vision. Even where carbon pricing has been introduced, these technology policies have been kept or even accelerated.",7,True,"[7, 9, 12, 13, 14]",True,True
8c41bf0,"The OECD is also at the forefront of efforts to understand and to help governments respond to new developments and concerns, such as corporate governance, the information economy and the challenges of an ageing population. The Organisation provides a setting where governments can compare policy experiences, seek answers to common problems, identify good practice and work to co-ordinate domestic and international policies. The European Commission takes part in the work of the OECD. Current NEA membership consists of 30 OECD member countries: Australia, Austria, Belgium, Canada, the Czech Republic, Denmark, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Japan, Luxembourg, Mexico, the Netherlands, Norway, Poland, Portugal, the Republic of Korea, the Slovak Republic, Slovenia, Spain, Sweden, Switzerland, Turkey, the United Kingdom and the United States. The European Commission also takes part in the work of the Agency.",7,False,"[8, 9, 10, 16, 17]",False,True
8cae7cc,"Tracking progress towards achieving the Sustainable Development Goals requires the collection, processing, analysis and dissemination of data and statistics at the subnational, national, and regional levels, including those derived from official statistical systems and from new and innovative data sources. Many national statistical systems face serious challenges in this regard. As a result, accurate and timely information about certain aspects of people's lives are unknown, and many development challenges are still poorly understood.",7,False,"[9, 11, 12, 15, 17]",False,True
8d7ae54,This option could lead to achieving the goal of a 40% reduction in energy intensity by 2030. The largest impact in energy intensity reduction will stem from efficiency improvements in the industrial and residential sectors. These products must be rapidly distributed on a large scale to achieve energy savings and reduce worldwide emissions.,7,True,[7],True,True
9bce629,"While it is correct that, aside from hydro (the potential of which is low but of high quality) and wind (which provides low-quality power), modern renewables continue to be significantly more expensive, economic limits are ultimately a lesser constraint, as they can be overcome with political will and special efforts. In fact, most energy technology debates completely disregard associated socio-political limits. In pluralistic democracies, the “not-in-my-backyard” (NIMBY) attitude is a powerful factor.",7,True,"[7, 8, 10, 16]",True,True
9179084,"Sources of energy like geothermal, tidal power, hydrogen, nuclear fusion and so forth will require a more visionary approach and even greater scientific and technological advancement. These advances, in turn, will require substantial investment which, at present, is not forthcoming from public and private sources on a large enough scale. Only by ensuring a reliable, affordable supply of energy will it be possible to chart a stable course for economic recovery and growth. Addressing energy insecurity and transforming the global energy system must therefore constitute a major priority for any long-term programme of economic and climate stabilization in advanced countries. Such a course will simultaneously address the climate challenge.",7,True,"[7, 8, 9, 12, 13, 17]",True,True
9594f82,"Increasingly, governments in high income nations, such as the United States and regional blocs such as the European Union, set market-entry standards that determine the green content of supply chains, particularly for the agricultural and resource sectors, which account for the bulk of Africa's exports. Their power comes from their capacity to threaten non-compliant multinational firms with reputational damage. An alternative strategy by civil society has been to engage big firms in a collective attempt to raise standards and certify best practice.",7,False,"[1, 2, 8, 9, 12, 17]",False,True
9616be5,"Low-wage residents are less likely to have access to a car, and commuter train lines and bus routes do not serve the south side of the Tri-State metro-region as well as they serve other parts of the region. Commuting times are even longer for those who commute across the region instead of following the hub and spoke system. Investment in public transport infrastructure does not sufficiently respond to demand for access to jobs, especially in lower -income neighbourhoods. While the Tri-State metro-region ranks high among OECD regions on many technology-based innovation indicators in terms of volume, its position has slipped and it is not among top regions when controlling for the size of its population and economy. For instance, in terms of patents per capita, the Tri-State metro-region ranked 23rd among OECD metro-regions and 11th among US metro-regions in 2007, the last year for which data are available, it ranked 27th and 12th, respectively, when adjusting for GDP (Table 1.5). These are hardly poor scores, but neither do they suggest that the Tri-State metro-region is fulfilling its innovation potential, particularly given that it ranks below so many other US metro-regions, including San Diego, San Francisco, New York, Boston, Los Angeles and Houston.",7,False,"[1, 8, 9, 17]",False,True
fb9fb40,"Although its ranking in terms of GDP per capita among OECD metro-regions is not as high as it is in terms of GDP (16lh among the 90 metro-regions vs. 8lh), Chicago still counts among the big players in the OECD urban world. With GDP per capita over USD 55 000 in 2008, Chicago ranked higher than traditionally rich European metro-regions such as London, Stockholm, Helsinki, Amsterdam-Utrecht, Paris and Milan (Figure 1.2). Among US metro-regions, Chicago’s GDP per capita is similar to that of San Diego and Philadelphia, but below that of a number of US metro-regions such as New York, Los Angeles, San Francisco-Oakland, Boston or Houston.",7,False,"[1, 8, 9, 10, 11, 17]",False,True
a59c895,"According to the battery specification, the voltage is 3.3 V and capacity is 0.8 Ah, which implies Cphone = 2.96 [12]. The final parameter is calculated as F = 0.375, derived from the average monthly charging expenses of $2.25 and the average price per charge of $0.20 [3]. Consequently, Ephone = 24.5.",7,False,"[7, 9, 12]",True,False
a5a1ba2,"However, urbanization represents an additional challenge. Rapid increases in urban electrification rates in recent years have not matched the absolute increase in urban population, so that the number of urban dwellers without access to electricity has continued to rise. The continuation of such rapid urbanization, together with progress towards universal access, is likely to result in still greater pressure on the (already poor) T&D infrastructure, reinforcing the need for upgrading.",7,True,"[9, 11]",False,False
a78c3d2,"Several hotels and universities have also contracted private firm to construct wastewater treatment plants. Certain groups of consumers - particularly in industry tourism, commerce and agriculture - are expected to pay a tariff reflecting the full cost of water service provision. An increase in the water tariff was approved in late 2010, potentially helping to improve cost recovery, but the Ministry of Water and Irrigation stated in June 2012 that tariffs would not increase further in the near future.",7,False,"[2, 6, 8, 9, 12, 17]",False,True
aafa82f,"It provides financial assistance to producers to install and maintain conservation practices on eligible agricultural and forest land. Energy conservation projects occur as part of the On-Farm Energy Initiative. Landscape AgEMPs have been available since 2009, and take a more holistic view of on-farm energy use, addressing issues, such as water use and erosion. Once the initial energy audit is complete, EQIP helps farmers develop a plan for implementing conservation practices.",7,True,"[2, 6, 12, 15]",False,False
c32893e,"Every time a lender underwrites an eligible loan under this programme, the Connecticut Green Bank reserves a percentage of the loan principal (between 7.5-15%) for the lender in the event of a default (Energize CT, 2013). In the Connecticut model, to promote sound lending practices and share risks, the lender assumes the “first loss” (1.5%) on its portfolio before it is permitted to access the reserve fund. When discussing credit enhancement, the terms guarantee and insurance are often used interchangeably.",7,False,"[8, 9, 10, 16, 17]",False,True
71f43d6,"There are, however, many other potential impacts of accidents that are borne by the society as a whole and for which the internalisation is less straightforward and more complex. This is the case for the economic consequences on health and on the business property of a third party or on the environment. The entity liable for the accident is held responsible for the victims’ compensation, which ensures a certain internalisation of accident costs.",7,False,"[3, 5, 8, 16]",False,True
b62579a,"Electricity grids in the Pacific will need to be strongly interconnected, flexible enough to accommodate this change, and resilient enough to withstand climate impacts, as well as cope with potential demand growth from growing populations and growing electric vehicle use. Commonwealth Pacific small states are more dependent on the fossil fuels used in cars, trucks and boats than for generating electricity, and more cost-effective displacement of fossil fuel can occur through energy efficiency. However, the attention and funding of development partners is not always directed accordingly to these areas. Moreover, although this is improving, consumers generally lack awareness on how they can reduce their energy consumption or be more energy efficient. The International Renewable Energy Agency (IRENA) estimates that deploying renewables worldwide on the scale necessary to limit global temperature rise below 2 degrees would require current investment to double by 2020, and triple by 2030 to around US$900 billion annually (IRENA 2016b).",7,True,"[7, 13]",True,True
b7c5e3a,"Strategies include building national and regional institutional capacity, cost sharing across borders, governance and regulations, enhancing access to modern energy, developing low-carbon and renewable domestic resources, improving regional energy cooperation and energy security, and promoting private sector participation in energy development. One key focus area is the development of hydropower potential, especially in the Lao People's Democratic Republic. Other activities pertaining to the energy sector include issues related to development of new and renewable sources (including small hydro), addressing the food-energy nexus, standardization and testing. These are captured in the BIMSTEC Memorandum of Understanding on Grid Interconnection.",7,True,"[7, 9, 12, 17]",True,True
bc1df48,"Moreover, access to water is often intermittent and vulnerable to interruptions caused by droughts or other factors. State of) (2015) Venezuela (Bol. This hinders online access to health, education and government services, and impairs e-commerce among Latin American countries, which could become a tool for regional integration, particularly in the area of digital goods and services.",7,False,"[1, 2, 4, 6, 9, 10, 12, 13, 17]",False,True
